Date,Price,Return,meanRet_5,vol_5,meanRet_25,vol_25,meanRet_75,vol_75,meanRet_150,vol_150,meanRet_255,vol_255,meanRet_765,vol_765,Price_t,emaRatio_5,emaRatio_25,emaRatio_75,emaRatio_150,emaRatio_255,emaRatio_765,Price_lag_1,Price_lag_2,Price_lag_3,Price_lag_4,Price_lag_5,FutureReturn
1993-10-26,4.354718208312988,0.00674935697555486,0.011062766933411105,0.13269212572678432,0.001451408559913864,0.19269281494600285,3.0755210884440274e-05,0.23528371400417944,-0.0010482310109603437,0.2172507733736289,-0.00024190284472167046,0.2711252929708613,-0.00015045779313696385,0.2735069739600424,4.354718208312988,0.9838896580808508,0.9583422955934116,0.9506333129390898,0.9484644006500706,0.9475404502511057,0.9466432117562437,4.325425624847412,4.315661907196045,4.218023300170898,4.149676322937012,4.120382785797119,-0.009009193314516118
1993-10-27,4.315661907196045,-0.009009193314516118,0.007844074568874353,0.1967950204768356,0.001451408559913864,0.19269281494600285,3.0755210884440274e-05,0.23528371400417944,-0.0010482310109603437,0.2172507733736289,-0.00024190284472167046,0.2711252929708613,-0.00015045779313696385,0.2735069739600424,4.315661907196045,0.9951958395800706,0.9695524884785337,0.9603091727496543,0.9576168088588113,0.9564584418230198,0.9553271810485279,4.354718208312988,4.325425624847412,4.315661907196045,4.218023300170898,4.149676322937012,-0.002265397730185108
1993-10-28,4.305896282196045,-0.002265397730185108,0.004123741163043513,0.19043029797264058,0.001451408559913864,0.19269281494600285,3.0755210884440274e-05,0.23528371400417944,-0.0010482310109603437,0.2172507733736289,-0.00024190284472167046,0.2711252929708613,-0.00015045779313696385,0.2735069739600424,4.305896282196045,0.9983019397276712,0.9739243694612522,0.9634743020243155,0.9603212515682839,0.9589508781773913,0.957604812476902,4.315661907196045,4.354718208312988,4.325425624847412,4.315661907196045,4.218023300170898,0.0
1993-10-29,4.305896282196045,0.0,-0.0004530795460370167,0.09254030218834268,0.001451408559913864,0.19269281494600285,3.0755210884440274e-05,0.23528371400417944,-0.0010482310109603437,0.2172507733736289,-0.00024190284472167046,0.2711252929708613,-0.00015045779313696385,0.2735069739600424,4.305896282196045,0.9988679598184476,0.9759301871950021,0.964435504602623,0.9608467979051277,0.9592715744416305,0.9577155048725235,4.305896282196045,4.315661907196045,4.354718208312988,4.325425624847412,4.315661907196045,0.0
1993-11-01,4.305896282196045,0.0,-0.0009050468138292733,0.08971409757435736,0.001451408559913864,0.19269281494600285,3.0755210884440274e-05,0.23528371400417944,-0.0010482310109603437,0.2172507733736289,-0.00024190284472167046,0.2711252929708613,-0.00015045779313696385,0.2735069739600424,4.305896282196045,0.9992453065456318,0.977781711256925,0.9653714123762382,0.961365383363338,0.9595897652663052,0.9578259082540574,4.305896282196045,4.305896282196045,4.315661907196045,4.354718208312988,4.325425624847412,0.002265397730185191
1993-11-02,4.315661907196045,0.002265397730185191,-0.001801838662903207,0.06882862646424356,0.001451408559913864,0.19269281494600285,3.0755210884440274e-05,0.23528371400417944,-0.0010482310109603437,0.2172507733736289,-0.00024190284472167046,0.2711252929708613,-0.00015045779313696385,0.2735069739600424,4.315661907196045,0.9979894537586986,0.9774484497493062,0.9641557022601301,0.9597305035740845,0.9577510422110372,0.9557742816865389,4.305896282196045,4.305896282196045,4.305896282196045,4.315661907196045,4.354718208312988,0.0
1993-11-03,4.315661907196045,0.0,1.674008154317619e-17,0.025429026453384424,0.001451408559913864,0.19269281494600285,3.0755210884440274e-05,0.23528371400417944,-0.0010482310109603437,0.2172507733736289,-0.00024190284472167046,0.2711252929708613,-0.00015045779313696385,0.2735069739600424,4.315661907196045,0.9986596358391324,0.979183184383975,0.9650989732532846,0.9602638743876728,0.9580811121937636,0.9558897535359212,4.315661907196045,4.305896282196045,4.305896282196045,4.305896282196045,4.315661907196045,0.0
1993-11-04,4.315661907196045,0.0,0.0004530795460370383,0.016082728454673834,0.001451408559913864,0.19269281494600285,3.0755210884440274e-05,0.23528371400417944,-0.0010482310109603437,0.2172507733736289,-0.00024190284472167046,0.2711252929708613,-0.00015045779313696385,0.2735069739600424,4.315661907196045,0.999106423892755,0.9807844778929,0.9660174213255666,0.9607901806871739,0.9584086035047498,0.9560049238922242,4.315661907196045,4.315661907196045,4.305896282196045,4.305896282196045,4.305896282196045,0.0
1993-11-05,4.315661907196045,0.0,0.0004530795460370383,0.016082728454673834,0.001451408559913864,0.19269281494600285,3.0755210884440274e-05,0.23528371400417944,-0.0010482310109603437,0.2172507733736289,-0.00024190284472167046,0.2711252929708613,-0.00015045779313696385,0.2735069739600424,4.315661907196045,0.99940428259517,0.9822625949780618,0.9669116997117359,0.9613095160423107,0.9587335362898689,0.9561197935426361,4.315661907196045,4.315661907196045,4.315661907196045,4.305896282196045,4.305896282196045,0.0
1993-11-08,4.315661907196045,0.0,0.0004530795460370383,0.016082728454673834,0.001451408559913864,0.19269281494600285,3.0755210884440274e-05,0.23528371400417944,-0.0010482310109603437,0.2172507733736289,-0.00024190284472167046,0.2711252929708613,-0.00015045779313696385,0.2735069739600424,4.315661907196045,0.9996028550634467,0.9836270107489802,0.9677824444561639,0.9618219727834724,0.9590559305376043,0.9562343632722897,4.315661907196045,4.315661907196045,4.315661907196045,4.315661907196045,4.305896282196045,0.0
